2   NeIV4714    4714.25    26    730  740  900  910      p  
2   NeIV4724    4724.15    26    940  950 1100 1110      p  
2   ArIV4740    4740.20    26	1275 1285 1422 1432      p
2   ArIV4740    4740.20    27    300  310  450  460      s
2   NI4800      4800.7     28    536  546  700  710      p
2   HeII4859	4859.32    29    700  710  765  775      p
2   Hbeta 	    4861.320   29	 750  760  914  924      p
2   HeI4922 	4921.931   30	 927  935 1102 1111      p
2   OIII4931	4931.0     30   1120 1130 1245 1255      p
2   OIII4931	4931.0     31    135  145  215  225      s
2   OIII4959    4958.92    31	 622  632  790  800      p
2s  Hbeta 	    4861.320   29	 725  735  900  910      ns 
2s  OIII4959    4958.92    31	 625  635  785  795      ns 
3b  NII4994     4994.37    20    778  788  935  945      p  
3b  HeI5015     5015.678   20   1290 1300 1460 1470      p  
3b  SiII5041	5041.03    19    900  910 1068 1078      p 
3b  HeI5047     5047.738   19   1067 1077 1228 1238      p 
3b  SiII5056	5056.31    19   1275 1285 1425 1435      p 
3b  NeII5130	5130.46    17   1000 1010 1155 1165      p 
3b  NIII5147	5147.88    17   1440 1450 1556 1566      p 
3b  ArIII5191   5191.82    16   1440 1450 1570 1580      p
3b  ArIII5191   5191.82    15    410  420  540  550      s
3b  NI5197	    5197.94    15    545  555  712  722      p
3b  NI5200	    5200.41    15    594  604  753  763      p
3b  CII5342	    5342.38    12    715  725  862  872      p
3b  CII5368	    5368.1     12   1303 1313 1461 1471      p
3b  HeII5411    5411.53    11   1205 1215 1360 1370      p
3b  HeII5411    5411.53    10    140  150  275  285      s
3b  NII5452	    5452.08    10   1042 1052 1191 1201      p
3b  NII5454	    5454.22    10   1090 1100 1240 1250      p
3b  NII5495	    5495.67     9    920  930 1065 1075      p
3b  ClIII5517	5517.71     9   1415 1425 1565 1575      p
3b  NII5931     5931.79     1   1145 1155 1265 1275      p
3b  ClIII5537	5537.87     8    735  745  895  905      p
3b  OI5577      5577.35     7    490  500  640  650      p
3b  OI5577      5577.35     8   1610 1620 1765 1775      s
3b  NaI5889     5889.95     1    240  250  390  400      s
3b  NaI5889     5889.95     2   1435 1445 1585 1595      p
3b  NaI5896     5896.02     1    380  390  510  520      p
3b  NaI5896     5896.02     2   1539 1549 1720 1730      s
3b  NII5941     5941.65     1   1305 1315 1456 1466      p
3b  OIII5592    5592.34     7    815  825  975  985      p
3b  NII5666     5666.63     6   1310 1320 1473 1483      p
3b  NII5676     5676.02     6   1510 1520 1658 1668      p
3b  NII5676     5676.02     5    380  390  510  520      s
3b  NII5679     5679.56     6   1590 1600 1750 1760      p
3b  NII5679     5679.56     5    446  456  600  610      s
3b  NII5686     5686.21     5    590  600  750  760      p
3b  NII5686     5686.21     6   1750 1760 1875 1885      s
3b  MnV5701	    5701.82     5    925  935 1090 1100      p
3b  NII5710     5710.77     5   1125 1135 1295 1305      p
3b  NII5730     5730.66     5   1550 1560 1688 1698      p
3b  NII5754     5754.57     4    905  915 1075 1085	     p
3b  CIV5801     5801.33     3    735  745  893  903      p
3b  CIV5811     5811.98     3    965  975 1125 1135      p
3b  HeII5836	5836.5      3   1475 1485 1620 1630      p
3b  MnV5861	    5861.0      2    807  817  948  958      p
3b  HeI5875     5875.625    2   1118 1128 1290 1300      p
3b  CII5886	    5886.05     2   1345 1355 1483 1493      p
3bs OIII5007    5006.85    20   1080 1090 1240 1250      ns
3bs NII5754     5754.57     4    900  910 1075 1085	     ns
3r  Mn6083	    6083.2	   14    565  575  698  708      p
3r  Mn6083	    6083.2	   15   1800 1810 1941 1951      s
3r  KIV6101	    6101.83	   14    950  960 1100 1110      p
3r  CII6151	    6151.43	   13    760  770  862  872      p
3r  OI6300      6300.32    11   1135 1145 1295 1305      p
3r  SIII6312    6312.06	   11   1370 1380 1543 1553      p
3r  SIII6312    6312.06	   10     96  106  250  260      s
3r  SiII6347    6347.1	   10    765  775  935  945      p
3r  OI6363	    6363.81	   10   1090 1100 1258 1268      p
3r  SiII6371    6371.36	   10   1255 1265 1415 1425      p
3r  Mn6393	    6393.5	    9    390  400  545  555      p
3r  Mn6393	    6393.5	   10   1667 1677 1835 1845      s
3r  ArV6435     6435.10     9   1185 1195 1345 1355      p
3r  CII6461	    6461.95	    9   1725 1735 1868 1878      p
3r  CII6461	    6461.95	    8    421  431  560  570      s
3r  SiI6486	    6486.14	    8    895  905 1015 1025      p
3r  OII6501	    6501.41	    8   1161 1171 1315 1325      p
3r  OII6509     6509.711    8   1310 1320 1450 1460      p
3r  OII6510     6510.622    8   1315 1325 1490 1500      p
3r  NII6548	    6548.06	    7    694  704  841  849      p
3r  HeII6560    6560.1	    7    920  930  990 1000      p
3r  Halpha	    6562.791    7    978  988 1147 1156      p
3r  CII6578     6578.05     7   1275 1285 1425 1435      p
3r  NII6583     6583.39     7   1510 1520 1540 1550      p
3r  NII6583     6583.39     6     85   95  195  205      s
3r  HeI6678     6678.152    5    460  470  622  632      p
